studentNumber,lastName,firstName,email,school,programme
906420001,Smith,Jack,jsmith@smu.edu.sg,Business,Management
906420002,Sanchez,Juan,juans@smu.edu.sg,Business,Management
906420003,Williams,Max,madmax@smu.edu.sg,English,Communication
906420004,Sauder,Greg,gregs@smu.edu.sg,English,Communication
906420005,Bright,Lauren,lbright@smu.edu.sg,English,Communication
906420006,Johnson,Henry,henryj@smu.edu.sg,Business,Management
906420007,Ruggs,Jane,Janer@smu.edu.sg,Business,Management
906420008,Thomas,Greg,GregT@smu.edu.sg,English,Communication
906420009,Mckay,George,Georgem@smu.edu.sg,English,Communication
906420010,Jones,Katie,katiej@smu.edu.sg,English,Communication
906420011,Johnson,Johnny,BigJohn@smu.edu.sg,Business,Management
906420012,Hudson,Daniel,danny@smu.edu.sg,Business,Management
